SCRUB_ITEM,TIME_DIM_KEY,SCRUB_TRANS_NO,TRANS_SEQ_NO,UNIT_QTY,UNIT_PRICE,UNIT_COST
2,20190318,9151,1,2.000,14.99,10.990
2,20190318,9152,1,1.000,14.99,10.990
2,20190318,9157,1,2.000,14.99,10.990
2,20190318,9158,1,1.000,14.99,10.990
2,20190318,9160,1,1.000,14.99,10.990
2,20190318,9162,1,4.000,14.99,10.990
2,20190318,9164,1,3.000,14.99,10.990
2,20190318,9165,1,1.000,14.99,10.990
2,20190318,9166,1,2.000,14.99,10.990
2,20190318,9170,1,1.000,14.99,10.990
2,20190318,9173,1,3.000,14.99,10.990
2,20190318,9174,1,1.000,14.99,10.990
2,20190318,9176,1,2.000,14.99,10.990
2,20190318,9184,2,20.000,14.99,10.990
2,20190319,9225,1,1.000,14.99,10.990
2,20190320,9300,1,1.000,14.99,10.990
2,20190320,9301,1,2.000,14.99,10.990
2,20190320,9302,1,4.000,14.99,10.990
2,20190320,9313,1,1.000,14.99,10.990
2,20190321,9345,1,2.000,14.99,10.990
2,20190321,9346,1,1.000,14.99,10.990
2,20190321,9347,1,2.000,14.99,10.990
2,20190321,9349,1,1.000,14.99,10.990
2,20190322,9396,3,4.000,14.99,10.990
2,20190322,9398,1,1.000,14.99,10.990
2,20190322,9399,1,2.000,14.99,10.990
2,20190322,9400,1,2.000,14.99,10.990
2,20190325,9430,1,7.000,14.99,10.990
2,20190325,9431,1,2.000,14.99,10.990
2,20190325,9436,1,4.000,14.99,10.990
2,20190325,9438,1,1.000,14.99,10.990
2,20190325,9442,1,13.000,14.99,10.990
2,20190325,9443,1,2.000,14.99,10.990
2,20190325,9444,1,1.000,14.99,10.990
2,20190325,9445,1,2.000,14.99,10.990
2,20190325,9450,1,1.000,14.99,10.990
2,20190325,9451,1,1.000,14.99,10.990
2,20190325,9453,1,1.000,14.99,10.990
2,20190325,9463,1,2.000,14.99,10.990
2,20190325,9464,1,4.000,14.99,10.990
2,20190326,9500,1,5.000,14.99,10.990
2,20190326,9502,1,1.000,14.99,10.990
2,20190326,9505,1,4.000,14.99,10.990
2,20190326,9509,1,6.000,14.99,10.990
2,20190326,9510,1,1.000,14.99,10.990
2,20190326,9512,1,1.000,14.99,10.990
2,20190326,9513,1,3.000,14.99,10.990
2,20190326,9515,1,12.000,14.99,10.990
2,20190327,9545,1,4.000,14.99,10.990
2,20190327,9546,1,6.000,14.99,10.990
2,20190327,9547,1,1.000,14.99,10.990
2,20190327,9548,1,3.000,14.99,10.990
2,20190327,9549,1,2.000,14.99,10.990
2,20190327,9550,1,1.000,14.99,10.990
2,20190328,9582,1,5.000,14.99,10.990
2,20190328,9583,1,2.000,14.99,10.990
